id,score,attempts,correct_count,wrong_count,avg_response_ms,last_response_ms,last_delta,updated_at
ko-0466,273,1,1,0,3440,3440,23,2026-05-25T20:20:03.008Z
ko-0467,308,2,2,0,1545,1,34,2026-05-25T13:50:39.682Z
ko-0469,276,1,1,0,2463,2463,26,2026-05-25T20:28:22.647Z
ko-0471,296,2,2,0,3408,4463,19,2026-05-25T20:26:36.254Z
ko-0474,230,1,0,1,3342,3342,-20,2026-05-25T20:30:35.991Z
ko-0475,302,2,2,0,2636,2656,26,2026-05-25T14:29:14.244Z
ko-0476,297,2,2,0,3141,3553,22,2026-05-25T15:24:25.260Z
ko-0477,272,1,1,0,3743,3743,22,2026-05-25T14:38:20.678Z
ko-0478,277,1,1,0,2141,2141,27,2026-05-25T20:32:46.903Z
ko-0479,230,1,0,1,3157,3157,-20,2026-05-25T20:19:17.528Z
ko-0482,210,2,0,2,6406,5145,-20,2026-05-25T20:31:36.225Z
ko-0483,247,2,1,1,4967,5013,17,2026-05-25T20:15:27.005Z
ko-0485,252,2,1,1,5108,3708,22,2026-05-25T20:33:27.654Z
ko-0487,230,1,0,1,7111,7111,-20,2026-05-25T20:27:27.139Z
ko-0488,256,1,1,0,8824,8824,6,2026-05-25T14:29:04.879Z
ko-0489,228,5,2,3,9785,18511,-20,2026-05-25T20:27:01.484Z
ko-0490,226,6,3,3,11784,5238,16,2026-05-25T14:15:27.211Z
ko-0493,271,1,1,0,3875,3875,21,2026-05-25T14:28:48.859Z
ko-0496,275,1,1,0,2756,2756,25,2026-05-25T14:27:47.251Z
ko-0497,282,1,1,0,915,915,32,2026-05-25T13:29:43.478Z
ko-0498,275,1,1,0,2887,2887,25,2026-05-25T13:26:19.188Z
ko-0499,263,1,1,0,5986,5986,13,2026-05-25T13:24:41.674Z
